                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.50751,                0.30563,                0.89877,                 0.9412,                0.93171,                0.96277,                0.86072,                0.49917,                0.32139,                 0.9133,               0.003169,               0.003169,               0.003169
                     71,                0.50661,                0.30458,                0.89825,                 0.9453,                0.93552,                0.96227,                0.86189,                0.49904,                0.31766,                0.91388,                0.00307,                0.00307,                0.00307
                     72,                0.50156,                0.30466,                0.89536,                 0.9473,                0.93005,                0.96162,                0.85988,                0.49674,                0.31486,                0.91765,               0.002971,               0.002971,               0.002971
                     73,                0.49651,                0.29711,                0.89497,                0.94338,                0.93308,                0.96196,                0.86219,                0.49312,                0.31482,                0.91255,               0.002872,               0.002872,               0.002872
                     74,                0.49593,                0.29784,                0.89558,                0.94331,                0.92842,                 0.9609,                 0.8619,                0.49374,                0.31971,                0.91457,               0.002773,               0.002773,               0.002773
                     75,                0.49603,                0.29528,                0.89855,                0.94305,                0.92898,                0.96023,                0.85949,                0.49455,                0.32052,                0.91839,               0.002674,               0.002674,               0.002674
                     76,                0.48755,                0.29065,                0.88847,                0.94085,                0.93361,                0.96026,                0.85745,                0.49762,                 0.3198,                0.91874,               0.002575,               0.002575,               0.002575
                     77,                0.48627,                0.28684,                0.89185,                0.94199,                0.93394,                0.95971,                 0.8584,                0.49605,                0.31783,                0.91744,               0.002476,               0.002476,               0.002476
                     78,                0.48319,                 0.2874,                0.88729,                0.94045,                0.93635,                0.96011,                0.86002,                0.49313,                0.31674,                0.91458,               0.002377,               0.002377,               0.002377
                     79,                0.47715,                0.28145,                0.88541,                0.94474,                0.93215,                 0.9598,                0.86071,                0.49216,                0.31698,                0.91406,               0.002278,               0.002278,               0.002278
                     80,                0.47286,                0.27912,                0.88461,                0.94341,                0.93269,                0.95999,                0.86125,                0.49178,                0.31421,                 0.9137,               0.002179,               0.002179,               0.002179
                     81,                0.47183,                0.27507,                0.88242,                0.94859,                0.93006,                0.96037,                0.86301,                0.49137,                0.31267,                0.91542,                0.00208,                0.00208,                0.00208
                     82,                 0.4715,                0.27672,                0.88157,                0.93716,                0.93907,                0.96094,                 0.8635,                0.49224,                0.31007,                0.91676,               0.001981,               0.001981,               0.001981
                     83,                0.46845,                0.27624,                0.88181,                0.93814,                0.94115,                 0.9614,                0.86453,                0.48936,                0.31114,                0.91464,               0.001882,               0.001882,               0.001882
                     84,                0.46631,                0.27096,                0.88015,                0.94039,                0.93902,                0.96169,                0.86396,                0.48992,                0.31044,                0.91558,               0.001783,               0.001783,               0.001783
                     85,                0.45765,                 0.2677,                0.88067,                0.93683,                0.94144,                0.96036,                0.86227,                0.48914,                0.30939,                0.91568,               0.001684,               0.001684,               0.001684
                     86,                0.45628,                 0.2644,                0.87561,                0.94049,                0.93735,                0.95898,                0.86097,                0.49052,                0.31194,                0.91682,               0.001585,               0.001585,               0.001585
                     87,                0.45291,                0.26075,                0.87935,                0.93943,                0.93589,                 0.9597,                0.86165,                0.48942,                0.31311,                 0.9153,               0.001486,               0.001486,               0.001486
                     88,                0.45096,                0.25882,                0.87506,                0.94856,                0.92983,                0.96023,                0.86293,                0.48853,                0.31031,                0.91564,               0.001387,               0.001387,               0.001387
                     89,                 0.4501,                0.25737,                0.87564,                0.94268,                0.93516,                0.96035,                0.86319,                0.48785,                0.30987,                 0.9147,               0.001288,               0.001288,               0.001288
                     90,                0.44722,                0.25628,                0.87482,                0.94579,                0.93347,                0.96023,                0.86287,                0.48791,                 0.3087,                0.91581,               0.001189,               0.001189,               0.001189
                     91,                0.37158,                0.21088,                0.81763,                0.94664,                0.93262,                0.95963,                0.86138,                0.48952,                0.31218,                0.91664,                0.00109,                0.00109,                0.00109
                     92,                0.36409,                0.20718,                0.81537,                0.94708,                0.93128,                0.95904,                0.86059,                0.49026,                0.31543,                0.91637,               0.000991,               0.000991,               0.000991
                     93,                 0.3592,                0.20478,                0.81329,                 0.9447,                0.93184,                0.95949,                0.86093,                 0.4901,                0.31676,                 0.9164,               0.000892,               0.000892,               0.000892
                     94,                0.35568,                0.19866,                0.81254,                0.94736,                0.92947,                0.95973,                0.86036,                0.49078,                 0.3166,                0.91739,               0.000793,               0.000793,               0.000793
                     95,                0.35393,                0.19743,                0.81158,                0.94548,                0.93103,                0.95921,                0.86041,                0.49022,                0.31593,                0.91777,               0.000694,               0.000694,               0.000694
                     96,                 0.3498,                0.19538,                0.80945,                0.94689,                0.93106,                0.95938,                0.85974,                0.49054,                0.31635,                0.91782,               0.000595,               0.000595,               0.000595
                     97,                0.34282,                0.18969,                0.80878,                 0.9461,                0.93216,                 0.9595,                0.86045,                0.49062,                0.31715,                0.91777,               0.000496,               0.000496,               0.000496
                     98,                0.34169,                 0.1873,                0.80805,                0.94854,                0.92947,                0.95938,                0.86009,                0.49129,                0.31756,                0.91811,               0.000397,               0.000397,               0.000397
                     99,                0.33918,                0.18532,                0.80647,                0.94874,                0.92915,                0.95964,                0.86063,                0.49144,                0.31897,                 0.9182,               0.000298,               0.000298,               0.000298
                    100,                0.33614,                0.18137,                0.80467,                0.94758,                0.93038,                0.95969,                0.86028,                0.49193,                0.31928,                0.91852,               0.000199,               0.000199,               0.000199
